VCD info: dumpfile test.vcd opened for output.
                   0Starting simulation
                 390testSW = 0000100111, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 400testSW = 0000101000, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 410testSW = 0000101001, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 420testSW = 0000101010, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 430testSW = 0000101011, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 440testSW = 0000101100, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 450testSW = 0000101101, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 460testSW = 0000101110, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 470testSW = 0000101111, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 480testSW = 0000110000, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 490testSW = 0000110001, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 500testSW = 0000110010, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 510testSW = 0000110011, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 520testSW = 0000110100, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 530testSW = 0000110101, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 540testSW = 0000110110, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 550testSW = 0000110111, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 560testSW = 0000111000, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 570testSW = 0000111001, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 580testSW = 0000111010, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 590testSW = 0000111011, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 600testSW = 0000111100, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 610testSW = 0000111101, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 620testSW = 0000111110, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 630testSW = 0000111111, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 640testSW = 0001000000, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 650testSW = 0001000001, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 660testSW = 0001000010, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 670testSW = 0001000011, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 680testSW = 0001000100, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 690testSW = 0001000101, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 700testSW = 0001000110, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 710testSW = 0001000111, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 720testSW = 0001001000, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 730testSW = 0001001001, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
